locus_tag,5GB1_FM40_T0m_TR2,5GB1_FM40_T10m_TR3,5GB1_FM40_T20m_TR2,5GB1_FM40_T40m_TR1,5GB1_FM40_T60m_TR1,5GB1_FM40_T90m_TR2,5GB1_FM40_T150m_TR1_remake,5GB1_FM40_T180m_TR1
MBURv2_30110,189.55505846865665,143.68691442066026,167.3385076381557,152.35972915758506,183.69406826874427,188.3132821233869,166.41237698362366,177.7794509374547
MBURv2_30111,143.41418225071487,114.03580074512375,130.1560842286429,133.97775691026848,152.29970483086203,155.60637622211357,107.16389359104647,148.587839264651
MBURv2_30112,100.14750012647437,92.94240005844239,102.6980090283839,96.27364284933468,114.38304615144673,114.95707447549843,99.0051277659753,110.03677867537415
MBURv2_30113,543.7131294928984,613.6714904075461,590.1592247707065,446.029912590582,152.68078401557966,229.10518003142022,367.21311043086365,552.0864368583293
MBURv2_30114,59.92068373389948,45.64118447175632,54.746187748798924,24.55394418260703,21.066610909253477,16.6396174114961,26.864325460563734,27.9336532663694
MBURv2_30115,18.954207613467485,19.73837668722855,18.230890804585375,15.96234145006587,11.687684289111472,12.175098886855185,14.009988882615339,14.678014019731831
MBURv2_30116,14.689510900437298,16.66419952584248,11.823880785983201,14.772840043931152,10.98054976467658,13.945948002746448,10.066353301193018,15.708101675630477
MBURv2_30117,37.29677235713867,29.08470384008991,35.611404542181084,29.731276051940064,31.384124504713913,33.109263077442364,29.98689323226233,39.19558915168637
MBURv2_30118,19.29148799957179,20.455093665223675,15.409568944138506,15.182227018295732,16.056370813791737,18.674987513452194,15.02224406654792,18.293869812604363
MBURv2_30119,4.700643488139936,4.836493257732887,3.757366560879107,5.267572678521736,2.7407452212632744,3.9885411287854846,3.907446436350417,5.039961133372502
MBURv2_30120,9.912799404780317,9.675451598675629,8.774500725989572,7.651672851063685,7.298875525535478,5.8214737075684715,8.003828312875182,6.218237399605429
MBURv2_30121,7.652459230464603,6.772412007071324,6.0662897778723766,5.097264090099585,5.179459320693345,4.5076657068986465,5.76105619546458,3.1339498285527143
MBURv2_30122,9.278162365898876,9.039120974789745,9.322731755689466,9.451973719383243,7.281062528523799,5.96212676359026,7.735394785565597,4.762749663180834
MBURv2_30123,3.026929518877989,2.1984060262422216,1.966665693022122,1.596234145006587,1.6610577098565298,0.7691401625757132,1.8319645956588573,0.737298389417085
MBURv2_30124,7.413915106058749,5.46496413303151,8.587715046693386,7.192071924535328,7.677699654668777,5.531104801089269,5.956346235988803,4.123872347587086
